Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column,Par 1,Par 2, Prompt , Answer, Answer Column / Row, Header, Column.1,Par 1.1,Par 2.1,T2 Prompt , Answer.1, Answer Column,Header.1, Column.2,Par 1.2,Par 2.2, Prompt .1,Highest Value,T3 Highest Row Index,T3 Answer1 ,Second Highest Value,T3 Second Row Index,T3 Answer2,Third Highest Value,T3 Third Row Index,T3 Answer3,Expected Answer, Answer Column / Row.1, Header.1, Column.3,Par 1.3,Par 2.3,T4 Prompt ,T4 Answer, Answer Column / Row.2, Header.2, Column.4,Par1,Par2,T5 Prompt,T5 Answer,T5 Row Index
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,0,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Dropped,L,60 56 53,,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",60,13,Fafnar Weapon,56,18,Connect Angel,53,27,Dragon Ball,Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27,Score,D,,,"In the 'Score' column, calculate a rough estimate of the average value",28.89655172413793,D,Members,G,15,1,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,0,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.9790768125482828,,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Popularity,I,88 86 83,,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",88,5,Different Life,86,18,Connect Angel,83,6,Assassian World,Different Life-Connect Angel-Assassian World,5 18 6,Episodes,F,,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F,Ranked,H,26,1,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,0,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934068,,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,On-Hold,J,75 73 71,,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",75,5,Dragon Ball,73,10,Different Life,71,11,Connect Angel,Dragon Ball-Different Life-Connect Angel,5 10 11,Members,E,,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,Dropped,I,17,1,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,0,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618344,,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Members,K,74 73 70,,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",74,6,Different Life,73,24,Fafnar Weapon,70,22,Travel World,Different Life-Fafnar Weapon-Travel World,6 24 22,Favorites,G,,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,Dropped,J,12,1,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
DS5_cereal_plain1.png,37,5,cereal,plain,1,Potassium,I,57,0,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Carbo,H,88 86 83,,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",88,5,Oatmeal Crisp,86,19,Wheat Cream,83,20,Grape Flakes,Oatmeal Crisp-Wheat Cream-Grape Flakes,5 19 20,Sugars,F,,,"In the 'Sugars' column, calculate a rough estimate of the average value",56.93103448275862,F,Sodium,K,51,1,"In the 'Sodium' column, find the  with a value equal to '51' ",Bran Chex,17
DS6_cereal_plain2.png,38,6,cereal,plain,2,Carbo,H,70,0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934068,,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",71,22,Corn Favorite,70,3,Frosted Flakes,68,7,Natural Bran,Corn Favorite-Frosted Flakes-Natural Bran,22 3 7,Score,E,,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E,Carbo,H,32,1,"In the 'Carbo' column, find the  with a value equal to '32' ",Double Chex,19
DS7_cereal_plain3.png,39,7,cereal,plain,3,Score,J,45,0,"In the 'Score' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618344,,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Score,J,60 56 53,,"In the 'Score' column, give the row names of the cereals with the highest 3 values in descending order ",60,7,Count Chocula,56,23,Wonderful Chex,53,18,Almond Delight,Count Chocula-Wonderful Chex-Almond Delight,7 23 18,Vitamins,D,,,"In the 'Vitamins' column, calculate a rough estimate of the average value",35.62068965517241,D,Protein,I,83,1,"In the 'Protein' column, find the  with a value equal to '83' ",Smile Maker,17
DS8_cereal_plain4.png,40,8,cereal,plain,4,Vitamins,K,60,0,"In the 'Vitamins' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618344,,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Vitamins,K,75 73 71,,"In the 'Vitamins' column, give the row names of the cereals with the highest 3 values in descending order ",75,16,Froot Loops,73,10,Count Chocula,71,19,Bran Chex,Froot Loops-Count Chocula-Bran Chex,16 10 19,Potassium,E,,,"In the 'Potassium' column, calculate a rough estimate of the average value",52.310344827586206,E,Vitamins,K,26,1,"In the 'Vitamins' column, find the  with a value equal to '26' ",Frosted Flakes,20
DS9_candy_zebra1.png,25,9,candy,zebra,1,SugarPercent,K,66,0,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.9994148327618344,,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Hard,H,98 84 80,,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",98,30,Fun Dips,84,9,Crunch Time,80,11,Now Later,Fun Dips-Crunch Time-Now Later,30 9 11,Nougat,G,,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G,Pluribus,J,32,1,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
DS10_candy_zebra2.png,26,10,candy,zebra,2,Caramel,J,38,0,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.9994148327618344,,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Almond,K,75 73 71,,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",75,31,Fun Dips,73,8,Laffy Taffy,71,26,Gold Bears,Fun Dips-Laffy Taffy-Gold Bears,31 8 26,Nougat,D,,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D,Almond,K,52,1,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
