task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row
1.0,DS1_anime_zebra1.png,17.0,1.0,anime,zebra,1.0,Filter,On-Hold,J,80.0,"In the 'On-Hold' column, count how many cells exceed the value of '80' ",7.0,J,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I
1.0,DS2_anime_zebra2.png,18.0,2.0,anime,zebra,2.0,Filter,Favorites,I,70.0,"In the 'Favorites' column, count how many cells exceed the value of '70' ",6.0,I,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L
1.0,DS3_anime_zebra3.png,19.0,3.0,anime,zebra,3.0,Filter,On-Hold,G,88.0,"In the 'On-Hold' column, count how many cells exceed the value of '88' ",5.0,G,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K
1.0,DS4_anime_zebra4.png,20.0,4.0,anime,zebra,4.0,Filter,Score,K,43.0,"In the 'Score' column, count how many cells exceed the value of '43' ",8.0,K,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J
1.0,DS5_cereal_color1.png,5.0,5.0,cereal,color,1.0,Filter,Sodium,I,57.0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8.0,I,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K
1.0,DS6_cereal_color2.png,6.0,6.0,cereal,color,2.0,Filter,Carbo,H,70.0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5.0,H,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I
1.0,DS7_cereal_color3.png,7.0,7.0,cereal,color,3.0,Filter,Protein,J,45.0,"In the 'Protein' column, count how many cells exceed the value of '45' ",6.0,J,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J
1.0,DS8_cereal_color4.png,8.0,8.0,cereal,color,4.0,Filter,Fat,K,60.0,"In the 'Fat' column, count how many cells exceed the value of '60' ",7.0,K,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L
1.0,DS9_candy_plain1.png,41.0,9.0,candy,plain,1.0,Filter,Fruity,K,66.0,"In the 'Fruity' column, count how many cells exceed the value of '66' ",5.0,K,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L
1.0,DS10_candy_plain2.png,42.0,10.0,candy,plain,2.0,Filter,Rating,J,38.0,"In the 'Rating' column, count how many cells exceed the value of '38' ",8.0,J,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J
1.0,DS11_candy_plain3.png,43.0,11.0,candy,plain,3.0,Filter,Pluribus,G,50.0,"In the 'Pluribus' column, count how many cells exceed the value of '50' ",7.0,G,Rating,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K
1.0,DS12_candy_plain4.png,44.0,12.0,candy,plain,4.0,Filter,Nougat,I,57.0,"In the 'Nougat' column, count how many cells exceed the value of '57' ",6.0,I,Hard,C,0.992274757693407,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I
